bottleID	site	date	time	dateTimeEST	dateTimeEST5Rounded	dateTimeEST30Rounded	salinityDensitometer	depthM	tempField	tempSTR	tempDIC	tempTA	dicCorrected	taCorrected	phSpec25	pumpSas	voltageSas	purpose	method	grahamCheck	deployment	notes	notFull	dicSuspect	midday	rDateTime	rDateTime30Rounded	precipitation	phInt	seafetDeployment	tempUsed	tempSource	phSpecField	phCalc	dicCalc	pco2	omegaArag	dicDiff	ta35Friss	dic35Friss
2918	smac	43457	0.455555556	1545562560	1545562500	1545562800	36.08016129	2	23.12	22.9858	25	24.35	2083.076987	2369.435663	NA	a	10.8	monitor	SAS	y	1	bottle not full	1	n	1	1545562560	1545562800	dry	7.994302	1	22.9858	STR	NA	8.028558585	NA	NA	NA	NA	2382.325819	NA
2920	star	43457	0.455555556	1545562560	1545562500	1545562800	36.16007403	2	23.25	22.8974	25	24.35	2105.062214	2377.105454	7.965997309	a	10.74	monitor	SAS	y	1	NA	NA	n	1	1545562560	1545562800	dry	7.9904	1	22.8974	STR	7.996762565	8.002858346	2108.498416	472.0310412	3.020223271	-3.436201921	2390.672599	2143.515563
2922	nmac	43457	0.455555556	1545562560	1545562500	1545562800	35.8626759	2	22.69	22.2564	25	24.55	2111.091681	2393.291072	NA	a	10.73	monitor	SAS	y	1	bottle not full	1	n	1	1545562560	1545562800	dry	7.946488	1	22.2564	STR	NA	8.03156294	NA	NA	NA	NA	2403.074447	NA
2919	smac	43471	0.450694444	1546771740	1546771800	1546772400	35.84695306	2	24.06	24.007	25	24.5	2134.95026	2394.782791	NA	b	10.37	monitor	SAS	y	2	bottle not full	1	n	1	1546771740	1546772400	dry	7.93771	1	24.007	STR	NA	7.965721395	NA	NA	NA	NA	2404.356825	NA
2921	star	43471	0.450694444	1546771740	1546771800	1546772400	35.92556594	2	24.25	23.9611	25	24.5	2166.905064	2409.777439	7.887990156	b	10.43	monitor	SAS	y	2	NA	NA	n	1	1546771740	1546772400	dry	7.8201	1	23.9611	STR	7.902627879	7.932337349	2182.551325	619.6131353	2.657229407	-15.64626101	2419.830912	2208.764297
2940	star	43485	0.409027778	1547977740	1547977800	1547978400	36.14435377	2	23.31	23.3277	25	25	2054.956602	2381.570234	NA	a	10.88	monitor	SAS	y	3	small bottle	NA	n	NA	1547977740	1547978400	dry	8.0024	1	23.3277	STR	NA	8.087473253	NA	NA	NA	NA	2394.817993	NA
2939	smac	43485	0.409027778	1547977740	1547977800	1547978400	36.06968067	2	23.12	23.2985	25	24.45	2070.497319	2384.545251	NA	a	10.85	monitor	SAS	y	3	small bottle	NA	n	NA	1547977740	1547978400	dry	8.009987	1	23.2985	STR	NA	8.068095683	NA	NA	NA	NA	2396.865957	NA
2941	em	43485	0.416666667	1547978400	1547978400	1547978400	36.31333935	7	24.12	24.1908	25	25	2061.28983	2385.822515	NA	a	10.72	monitor	SAS	y	3	small bottle	NA	n	1	1547978400	1547978400	dry	8.0255	1	24.1908	STR	NA	8.06664593	NA	NA	NA	NA	2400.802013	NA
2924	smac	43513	0.359027778	1550392620	1550392500	1550392200	35.7210662	2	23.75	23.7797	25	24.65	2137.975855	2414.594107	7.977102111	a	10.68	monitor	SAS	y	5	bottled 3/13 LC	1	n	NA	1550392620	1550392200	dry	7.942855	1	23.7797	STR	7.994669731	7.99764321	2139.680869	483.5291142	3.136386962	-1.70501492	2422.373918	2161.084494
2925	star	43513	0.359027778	1550392620	1550392500	1550392200	35.79585285	2	23.69	23.7882	25	24.65	2147.672593	2414.327817	7.956082282	a	10.62	monitor	SAS	y	5	bottled 3/13 LC	1	n	NA	1550392620	1550392200	dry	7.5867	1	23.7882	STR	7.973469044	7.979136437	2150.853913	512.3328711	3.019090562	-3.181320198	2422.902506	2174.179685
