ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category,KO,gene,annot
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04202,Acropora_001752,NA
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04202,Acropora_018748,NA
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04202,Acropora_000085,NA
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04202,Acropora_003232,G-protein coupled receptor activity
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04202,Acropora_001343,NA
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006815,7 transmembrane receptor (rhodopsin family)
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_002463,serotonin receptor activity
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_000138,serotonin receptor activity
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006400,alpha1-adrenergic receptor activity
map04080,Neuroactive ligand-receptor interaction,22/187,105/3556,1.142008330746501e-8,3.0948425763230176e-6,2.9572005196172555e-6,K04202/K04144/K05051/K04174/K08375/K04224/K04153/K26170/K04266/K04607/K04204/K05194/K04282/K08378/K04606/K05202/K04135/K04249/K04163/K05175/K05181/K04170,22,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006853,alpha1-adrenergic receptor activity
