ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Category,KO,gene,annot
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04199,Acropora_000256,NA
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04199,Acropora_004454,G-protein coupled acetylcholine receptor activity
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04199,Acropora_000544,NA
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04199,Acropora_001344,NA
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006815,7 transmembrane receptor (rhodopsin family)
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_002463,serotonin receptor activity
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_000138,serotonin receptor activity
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006400,alpha1-adrenergic receptor activity
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_006853,alpha1-adrenergic receptor activity
map04080,Neuroactive ligand-receptor interaction,18/144,105/3556,1.1708452174693061e-7,2.8217369741010278e-5,2.7977038354266577e-5,K04199/K04144/K04615/K08375/K04239/K08378/K04286/K04266/K04606/K05053/K04135/K04150/K04285/K04136/K04221/K04214/K04162/K04134,18,Environmental Information Processing; Signaling molecules and interaction,K04144,Acropora_002238,serotonin receptor activity
