gene,annot,Sample_ID,Location,norm_expression,baseMean,log2FoldChange,lfcSE,pvalue,padj,Date_Sampled,Genotype,Replicate
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_1089,CCC,5.32328705775049,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-10-26T00:00:00Z,MiamiBeach_C,3
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_1090,CCC,4.376504362189499,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-10-26T00:00:00Z,SunnyIsles_E,3
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_1091,CCC,2.5032976992235367,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-10-26T00:00:00Z,Cheetos_B,2
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_1092,CCC,5.232901100570659,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-10-26T00:00:00Z,Cheetos_B,3
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_1099,CCC,4.280571972265413,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-10-26T00:00:00Z,Cheetos_B,1
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2263,nursery,2.5032976992235367,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,Cheetos_B,1
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2265,nursery,2.5032976992235367,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,Cheetos_B,3
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2266,nursery,2.5032976992235367,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,SunnyIsles_E,1
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2267,nursery,4.391072631015705,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,SunnyIsles_E,2
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2268,nursery,5.008539731856781,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,SunnyIsles_E,3
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2382,nursery,3.975950613969274,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,MiamiBeach_C,1
Acropora_000027,positive regulation of mitotic metaphase/anaphase transition,Acer_2384,nursery,2.5032976992235367,15.723306333078721,0.14943580545562246,0.4640150316559843,0.005383181731865617,0.0960998809447175,2021-11-03T00:00:00Z,MiamiBeach_C,3
Acropora_000151,Tektin family,Acer_1089,CCC,5.021278936648093,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-10-26T00:00:00Z,MiamiBeach_C,3
Acropora_000151,Tektin family,Acer_1090,CCC,7.416329166491579,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-10-26T00:00:00Z,SunnyIsles_E,3
Acropora_000151,Tektin family,Acer_1091,CCC,5.86505554979388,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-10-26T00:00:00Z,Cheetos_B,2
Acropora_000151,Tektin family,Acer_1092,CCC,7.062503392567982,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-10-26T00:00:00Z,Cheetos_B,3
Acropora_000151,Tektin family,Acer_1099,CCC,6.142659025929249,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-10-26T00:00:00Z,Cheetos_B,1
Acropora_000151,Tektin family,Acer_2263,nursery,6.554205650088761,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,Cheetos_B,1
Acropora_000151,Tektin family,Acer_2265,nursery,5.080071613578776,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,Cheetos_B,3
Acropora_000151,Tektin family,Acer_2266,nursery,5.931442075661738,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,SunnyIsles_E,1
Acropora_000151,Tektin family,Acer_2267,nursery,6.649826415879065,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,SunnyIsles_E,2
Acropora_000151,Tektin family,Acer_2268,nursery,5.914833305980249,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,SunnyIsles_E,3
Acropora_000151,Tektin family,Acer_2382,nursery,4.7726110239908826,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,MiamiBeach_C,1
Acropora_000151,Tektin family,Acer_2384,nursery,4.906660030489551,111.26214281612363,1.0825620515567906,0.6037734561635048,0.005199625666803775,0.09359326200246795,2021-11-03T00:00:00Z,MiamiBeach_C,3
Acropora_000194,endothelial cell proliferation,Acer_1089,CCC,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-10-26T00:00:00Z,MiamiBeach_C,3
Acropora_000194,endothelial cell proliferation,Acer_1090,CCC,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-10-26T00:00:00Z,SunnyIsles_E,3
Acropora_000194,endothelial cell proliferation,Acer_1091,CCC,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-10-26T00:00:00Z,Cheetos_B,2
Acropora_000194,endothelial cell proliferation,Acer_1092,CCC,4.20674633807599,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-10-26T00:00:00Z,Cheetos_B,3
Acropora_000194,endothelial cell proliferation,Acer_1099,CCC,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-10-26T00:00:00Z,Cheetos_B,1
Acropora_000194,endothelial cell proliferation,Acer_2263,nursery,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-11-03T00:00:00Z,Cheetos_B,1
Acropora_000194,endothelial cell proliferation,Acer_2265,nursery,2.5032976992235367,2.953967150312672,0.013171284561533618,0.4326884875824159,0.5711543416138345,0.8675280473844456,2021-11-03T00:00:00Z,Cheetos_B,3
