gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,lpv,annot
Acropora_000050,1282.1603986888529,-2.1025716302590953,0.39634944247215936,-5.304843163509144,1.1276991042741907e-7,8.761419557701803e-6,-5.057425522127622,NA
Acropora_000052,68.17191852740666,-9.344794103609901,2.209957954264431,-4.228494069571676,2.352607164856402e-5,0.0013573192148257072,-2.867318002794087,NA
Acropora_000100,2232.660567346916,0.9145155665551361,0.2649818904154473,3.4512379888351186,5.580212751156093e-4,0.019753572237198296,1.7043543550948923,NA
Acropora_000125,41.98651398721475,-6.050471224900792,1.2660845150708193,-4.778884152581516,1.7627071528321703e-6,1.2608826613224325e-4,-3.8993253273137336,NA
Acropora_000157,0.6187865206687908,-20.022039678568976,3.283834560655045,-6.097152371334769,1.0797459042832372e-9,1.0134954316041389e-7,-6.994178204576878,NA
Acropora_000223,18.217288383406693,-8.23040299584191,2.366394034717847,-3.4780357265493396,5.051025984035496e-4,0.018285948169778767,-1.737882515543239,NA
Acropora_000227,15.519740418195013,-5.752189011947207,1.6008857777301468,-3.5931289364710843,3.267308095560378e-4,0.01305915975612803,-1.884084765252086,endopeptidase inhibitor activity
Acropora_000261,1232.248501113274,-0.9115266936431712,0.278874284825674,-3.2685935679332068,0.0010808343402034166,0.032260183529754925,-1.4913331662175748,zinc finger
Acropora_000264,877.555669649268,2.4913237231696663,0.3433038858130445,7.256905109796469,3.960473300987426e-13,6.846338179640263e-10,9.164541652390044,Belongs to the glycosyl hydrolase 18 family
Acropora_000268,0.7875464808511884,-20.36962117969908,3.283241993846677,-6.204118130151547,5.500445909632798e-10,7.17617924210206e-8,-7.144106722293441,NA
Acropora_000299,15.191106250951734,5.828553276138227,1.5715954904541536,3.7086854165341965,2.08338072946681e-4,0.008957769140809594,2.04780013436336,NA
Acropora_000355,294.3413553026384,-1.317087168123495,0.3507878586984538,-3.7546543743285503,1.7358083540516188e-4,0.007693933439411705,-2.1138515751154063,NA
Acropora_000447,651.2756746657843,-2.295569631192384,0.45742317563096796,-5.018481252126946,5.208157488589999e-7,3.831135423521665e-5,-4.4166724962422705,snRNA transcription by RNA polymerase III
Acropora_000464,16.86245504861204,-8.003264816588015,2.3274130908396966,-3.438695454660588,5.84524406886504e-4,0.020482051176441956,-1.6886265530671387,Ribonuclease H protein
Acropora_000574,30.368185979110304,-9.668696899809525,2.123496777143079,-4.5531959378896,5.283701887043e-6,3.4358969261699055e-4,-3.463959873090818,calcium ion-regulated exocytosis of neurotransmitter
