gene,annot,baseMean,log2FoldChange,lfcSE,pvalue,padj
Symbiodinium10400,NA,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium10680,NA,1.9367106960794798,0.004099251656140892,0.16137826619667112,7.650032365481294e-8,1.3584323362832556e-5
Symbiodinium10733,inorganic anion exchanger activity,1.9367106960794798,0.004099251656140892,0.16137826619667112,7.650032365481294e-8,1.3584323362832556e-5
Symbiodinium11145,medium-chain-acyl-CoA dehydrogenase activity,44.29357208650117,3.5937575222992386,1.5221852510583114,1.6572479618746295e-6,1.8883308905344172e-4
Symbiodinium11258,Non-ribosomal peptide synthetase modules and related proteins,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium11360,NA,1.6600377394966968,0.004086534549455493,0.16137747754654255,9.384348579991474e-8,1.3584323362832556e-5
Symbiodinium117,NA,1.6600377394966968,0.004086534549455493,0.16137747754654255,9.384348579991474e-8,1.3584323362832556e-5
Symbiodinium11754,NA,1.7983742177880884,0.004093068915063122,0.16137789167510622,8.454776994580247e-8,1.3584323362832556e-5
Symbiodinium11844,NA,23.74804617048822,0.0028800393239722167,0.16133986094357106,1.3135981228717515e-8,5.105398074262649e-6
Symbiodinium12017,NA,2.213383652662263,0.004105577686301491,0.16137872694960262,6.48590845520813e-8,1.3584323362832556e-5
Symbiodinium12265,NA,2.6283930875364367,0.004122226689760461,0.1613795925833975,5.147420412518968e-8,1.3398404765503502e-5
Symbiodinium12602,Uncharacterized protein family UPF0016,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium12643,"1,3-beta-D-glucan synthase activity",31.119516696042542,0.006000216442837319,0.16146995202641465,3.104985694271778e-13,2.1056439534721843e-9
Symbiodinium12669,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium12733,NA,130.27222543458126,-1.10981463223861,0.4414198907373059,3.866748770871157e-4,0.036326952359985586
Symbiodinium1286,NA,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium13124,"intramolecular oxidoreductase activity, transposing S-S bonds",1.7431862496570767,0.006928050855107776,0.16151612258513853,2.2216172028689244e-10,1.1460313323599478e-7
Symbiodinium13318,NA,6.1574652109757775,-0.004920416507884063,0.16141545935610802,2.5733067273953537e-13,2.1056439534721843e-9
Symbiodinium13395,NA,2.326627850054028,0.0069537789655556475,0.16151903868405443,3.013053474752687e-11,2.7047850466174926e-8
Symbiodinium13734,NA,20.909369457138368,0.006006854347645138,0.16147024282768163,3.324606309823358e-12,1.1165395312913702e-8
Symbiodinium13887,NA,16.43370479340937,-0.05578069596628931,0.17597648830318935,1.62368001421957e-5,0.001806550955428927
Symbiodinium14490,oxidoreductase activity,41.37000399763394,0.0028940786898947143,0.1613399582260556,6.509791640713268e-9,2.676750846816186e-6
Symbiodinium14890,NA,2.4723900567869284,0.006933902156422045,0.16151588701226313,5.337197751683672e-8,1.3584323362832556e-5
Symbiodinium15040,NA,1.816004601086516,0.006620242774564322,0.16148968491167842,7.827637678885983e-11,5.287755624413169e-8
Symbiodinium15170,NA,19.881278416370645,-0.02585008775638225,0.16416572301462035,2.9263416485268587e-4,0.028336575171332437
Symbiodinium15286,NA,3.458411957284785,0.0041550857025021565,0.16138111879589925,3.637590094448405e-8,1.1596146759515748e-5
Symbiodinium15399,NA,3.7805141661616535,0.0071828487318738804,0.16153904269402927,2.3815224285617963e-11,2.6791998171608384e-8
Symbiodinium15924,NA,1.8199583913825468,0.006665239019952865,0.16149341234471035,6.983494111250113e-11,4.832577924985078e-8
Symbiodinium15942,NA,0.8915832063142696,0.00667644406801199,0.16149241177437196,4.836677134174865e-10,2.144159432043895e-7
Symbiodinium16162,NA,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium16207,NA,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium16282,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium17360,NA,13.655058486197216,0.009705694986372663,0.16167737584528488,9.384036914844583e-5,0.009934473707013825
Symbiodinium17465,NA,17.84884998801025,0.0028070131418829985,0.16133805588035044,1.9086586044544405e-8,7.125323937576498e-6
Symbiodinium17484,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium17549,NA,2.490056609245045,0.004117708227756599,0.1613793531245943,5.5077066946447595e-8,1.3584323362832556e-5
Symbiodinium17587,"NAD-dependent protein deacetylase, SIR2 family",27.942728287800144,2.968690216269438,1.5749880077875595,6.763958893149042e-5,0.007269206125622144
Symbiodinium17629,NA,53.03085540529911,-0.06533646213770762,0.18090617024191194,2.856313596826012e-4,0.027753194989434113
Symbiodinium18044,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,2.232509538834258,0.006908691117577551,0.16151356814032308,6.044148796490272e-8,1.3584323362832556e-5
Symbiodinium18206,NA,20.369641462181225,3.80728849786438,1.5956377605798882,1.937548757865307e-4,0.019493664311402304
Symbiodinium18233,NA,25.55646690468005,4.8749487351936,1.8883150583743666,5.0233452967985865e-5,0.005439784456517919
Symbiodinium18627,Aspartyl Asparaginyl beta-hydroxylase,1.8783345437310135,0.0063423796730329145,0.1614672177521485,1.0800454530556359e-10,6.809566576465446e-8
Symbiodinium1874,ubiquitin-protein transferase activity,1.9367106960794798,0.004099251656140892,0.16137826619667112,7.650032365481294e-8,1.3584323362832556e-5
Symbiodinium19135,NA,1.6600377394966968,0.004086534549455493,0.16137747754654255,9.384348579991474e-8,1.3584323362832556e-5
Symbiodinium19229,NA,4.150094348741742,0.004145712611311543,0.16138086943548102,2.8727440997589107e-8,9.939694585165831e-6
Symbiodinium19310,NA,15.897720794757713,0.02504459429566887,0.16393705553124677,1.519485868179982e-4,0.015619874294203785
Symbiodinium19554,NA,12.434551426673151,5.962398624579514,1.9741343658215784,1.2567855306003464e-4,0.013109382012570968
Symbiodinium19638,NA,11.117715882362319,0.004304656456640307,0.1613866949813681,5.915521160045131e-11,4.1958791588200115e-8
Symbiodinium2000,NA,1.7032060866856145,0.006888906353600747,0.16151281123107347,2.41186670701406e-10,1.2005172317789984e-7
Symbiodinium20390,NA,2.075047174370871,0.004106912885454825,0.16137867664066266,7.073084904497781e-8,1.3584323362832556e-5
Symbiodinium20447,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium20566,NA,2.8623433799211657,0.0068043541064276136,0.1615062054129963,2.153182493896246e-11,2.6791998171608384e-8
Symbiodinium20856,NA,5.466892763287835,-0.0045233375173459565,0.16139832376794097,3.5418214371994685e-12,1.1165395312913702e-8
Symbiodinium21058,Lipase maturation factor,11.949653805532288,0.0044266821379229954,0.1613915441928953,1.752807809228375e-11,2.6791998171608384e-8
Symbiodinium21656,protein transport into plasma membrane raft,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium21927,NA,17.016912064840284,0.002860540344116489,0.1613394869562093,2.0191561845145475e-8,7.43993496974633e-6
Symbiodinium22194,NA,2.075047174370871,0.004106912885454825,0.16137867664066266,7.073084904497781e-8,1.3584323362832556e-5
Symbiodinium22235,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium22271,NA,1.5217012612053056,0.004078754006763168,0.16137698197906386,1.0430099630425265e-7,1.3629595859451186e-5
Symbiodinium22634,NA,16.64327698636663,-0.0451710287164043,0.17057657102771348,2.3085732840886063e-4,0.022663958898325932
Symbiodinium22639,NA,3.458411957284785,0.0041550857025021565,0.16138111879589925,3.637590094448405e-8,1.1596146759515748e-5
Symbiodinium22844,NA,8.62190211285241,0.00343184368852317,0.16135590267317845,2.8283615855670537e-9,1.1800922780251244e-6
Symbiodinium22916,NA,1.3833647829139142,0.004069414221358665,0.16137638597081427,1.1721490870245627e-7,1.3629595859451186e-5
Symbiodinium23021,NA,17.058151439186904,0.041687818823107854,0.16892480934111537,1.790681030396163e-5,0.0019845782107187474
Symbiodinium23106,NA,20.802245334521086,0.01576944088163245,0.16238626033841747,1.272215346708406e-4,0.013221719346817177
Symbiodinium23373,NA,1.6361068683483846,0.006840865978654555,0.1615070310346402,9.127786141465671e-8,1.3584323362832556e-5
Symbiodinium23827,nucleoside hydrolase,1.8999182574493672,0.006413341388202246,0.16146797119022516,7.546111594086446e-8,1.3584323362832556e-5
Symbiodinium23867,NA,12.163926894675068,-0.03275809375227256,0.1662750914032306,1.8050486546641642e-4,0.01829030015361845
